"hash","fecha","mensaje"
"6da2c7dabb0998856978834ac73e68dfa8768ed2","2026-05-12 10:31:08 -0500","- Implementado sistema de exportaci├│n y restauraci├│n de la llave maestra (secret.key) en SecurityManager. - Uso de derivaci├│n de llaves mediante PBKDF2HMAC (100,000 iteraciones) y Salt aleatorio para proteger los archivos .vault. - Integrados botones de gesti├│n de llaves en el m├│dulo de auditor├¡a (show_admin_audit). - Optimizada la transici├│n visual en la carga de logs mediante pre-fetching de datos y forzado de ciclos de renderizado (update_idletasks). - Configurado inicio de aplicaci├│n en estado maximizado ('zoomed') con anclaje en coordenadas de origen (0,0). - Aplicado workaround t├®cnico con after(0) para corregir desplazamientos de ventana por escalado de pantalla (DPI) en Windows. - Corregida la suite de importaciones en security_manager.py para soportar las nuevas funciones criptogr├íficas."
"1b36b7a4c83deec0c262483cda02a45b0100b2bf","2026-05-12 00:42:46 -0500","- Implementaci├│n de un m├│dulo de matr├¡cula din├ímica desde la interfaz gr├ífica eliminando la manipulaci├│n manual de metadatos - Desarrollo de un sistema de reportes interactivo con filtrado multinivel por materia fecha y c├│digo de estudiante - Adici├│n de funcionalidad de exportaci├│n a formato Excel preservando la integridad de los identificadores t├®cnicos - Integraci├│n de gesti├│n de perfiles biom├®tricos directamente en la interfaz permitiendo la eliminaci├│n segura de firmas faciales - Implementaci├│n de un panel de telemetr├¡a para el monitoreo del estado del sistema conteo de registros y peso de archivos - Incorporaci├│n de una consola de eventos en tiempo real en el Dashboard para la trazabilidad inmediata de operaciones - Desarrollo de un protocolo de verificaci├│n preventiva de hardware para detectar dispositivos ocupados y evitar cuelgues del worker - Implementaci├│n de firmas digitales HMAC-SHA256 por registro en el log de asistencia para garantizar el No Repudio y la Integridad - Migraci├│n del log de auditor├¡a administrativa a un contenedor binario cifrado para asegurar la confidencialidad total de la gesti├│n"
"38ae5d8c95763ae48aeceb2b1d1af5290cb2feca","2026-05-11 17:40:14 -0500","- Migraci├│n a una arquitectura de gesti├│n de clases basada en identificadores ├║nicos (IDs persistentes) para garantizar la integridad referencial seg├║n est├índares ISO 25012. - Implementaci├│n de un log de auditor├¡a administrativa (admin_audit.csv) para la trazabilidad at├│mica de creaci├│n, renombramiento, eliminaci├│n y matr├¡cula. - Desarrollo de un sistema de eliminaci├│n l├│gica (Soft Delete) que preserva el historial de datos ocultando entidades sin romper v├¡nculos en el log de asistencia. - Refactorizaci├│n del esquema de persistencia en master_log.csv para incluir capturas de estado (snapshots) de ID y nombre de materia en el momento del registro. - Sincronizaci├│n del estado de la interfaz mediante el bloqueo de navegaci├│n lateral (sidebar) durante procesos activos de c├ímara para evitar colisiones de estado. - Adici├│n de protocolos de confirmaci├│n de usuario y retroalimentaci├│n mediante cuadros de di├ílogo nativos para acciones cr├¡ticas de modificaci├│n de datos. - Creaci├│n de una utilidad de recuperaci├│n por consola (CLI) para la restauraci├│n controlada de materias inactivas manteniendo la consistencia del log administrativo. - Correcci├│n de la l├│gica de b├║squeda de estudiantes matriculados adapt├índola a la nueva jerarqu├¡a del archivo de metadatos de clases. - Registro sistem├ítico de eventos de inicio y fin de sesi├│n de asistencia para auditar los periodos de actividad del motor de reconocimiento biom├®trico. - Normalizaci├│n de la visualizaci├│n en el motor de video priorizando nombres legibles (UX) mientras se mantienen identificadores t├®cnicos para la base de datos (Backend)."
"f02371ba3a3deb6cfed1ff5e388cdc568f1feb54","2026-05-05 00:46:47 -0500","- Inicializaci├│n de enroll_status en el constructor para asegurar su correcta visualizaci├│n en la interfaz. - Implementaci├│n de un sistema de bloqueo para rostros duplicados con alertas visuales prolongadas (120 cuadros). - Sincronizaci├│n de fecha y hora de registro con la zona horaria de Colombia (GMT-5). - Adici├│n de un bot├│n de salida en la barra lateral para garantizar un cierre limpio de la aplicaci├│n. - Configuraci├│n de t├¡tulos din├ímicos en la ventana de video para diferenciar los modos de Registro y Asistencia. - Optimizaci├│n del procesamiento en el modo asistencia (frecuencia de 1 segundo) para evitar bloqueos del driver de video. - Inclusi├│n de bucles de persistencia visual para garantizar la legibilidad de los mensajes de estado en c├ímara. - Desarrollo de una utilidad de normalizaci├│n de texto para eliminar tildes y e├▒es en las etiquetas de OpenCV. - Correcci├│n en el empaquetado de par├ímetros de log_attendance ajustando la referencia a la llave de c├│digo. - Implementaci├│n de memoria temporal en el proceso de captura para prevenir registros de asistencia redundantes."
"2c48a6953cc5821b31a531ed17ca28b3fa66a58c","2026-05-03 21:37:10 -0500","- Se implement├│ la verificaci├│n de duplicados de c├│digo estudiantil antes de la activaci├│n de hardware. - Se integr├│ el m├®todo _check_face_collision en EnrollmentManager para detectar rostros ya registrados. - Se optimiz├│ la l├│gica de persistencia en register_user.py para asegurar que no se guarden datos si falla cualquier validaci├│n."
"939c2e4be2148a6fdfe8b94ee913c971bb84ab6f","2026-05-03 17:18:47 -0500","- Se actualiz├│ EnrollmentManager para realizar capturas autom├íticas en tres etapas: frente, derecha e izquierda. - Se implement├│ un temporizador de estabilidad de 1.5 segundos por etapa para garantizar la calidad del vector extra├¡do. - Se redise├▒├│ la interfaz de captura con un ├│valo gu├¡a vertical estilizado y barra de progreso. - En main.py, se a├▒adi├│ soporte para comparar el rostro detectado contra m├║ltiples vectores de referencia, seleccionando la mejor similitud. - Se implement├│ un filtro de ├írea m├¡nima (20% del ancho del frame) para ignorar autom├íticamente cuadros y retratos en el fondo. - Se ajust├│ el umbral de Similitud Coseno a 0.60 para mejorar la tasa de reconocimiento en condiciones de iluminaci├│n variable."
"3a6e1afe0cf8ac6b3f0949a42619c8b5f9c58994","2026-05-03 12:23:12 -0500","Resoluci├│n de dependencias y validaci├│n de enrolamiento biom├®trico - Se estabiliz├│ el entorno de ejecuci├│n local tras resolver conflictos cr├¡ticos de versiones entre el motor de inferencia y las librer├¡as de visi├│n artificial. Se logr├│ completar con ├®xito el primer flujo de registro de usuarios. - Downgrade controlado a TensorFlow 2.15.0 y OpenCV 4.9.0.80 para garantizar compatibilidad con los grafos de computaci├│n de MediaPipe y DeepFace sobre Windows. - Se forz├│ la actualizaci├│n de ml-dtypes>=0.5.0 para corregir errores de importaci├│n de tipos de datos en los m├│dulos de optimizaci├│n. - Inyecci├│n de un puente de compatibilidad en el punto de entrada para mapear tensorflow.keras, superando las restricciones de Lazy Loading y Legacy Keras del entorno. - Verificaci├│n exitosa del RF-04 (Generaci├│n de embeddings de 512 dimensiones) utilizando el modelo ArcFace y persistencia bajo cifrado AES-256 en encrypted_registry.bin."
"bd8e69905a3547f27ff608477b019a2520f32f62","2026-05-03 11:00:08 -0500","Estabilizaci├│n del entorno y validaci├│n de captura multirrostro - Downgrade t├®cnico a Python 3.10 para asegurar compatibilidad SOTA con MediaPipe 0.10.11. - Implementaci├│n de src/enrollment.py con soporte nativo para mp.solutions. - Validaci├│n exitosa de requerimientos RF-02 (Video en vivo) y RF-03 (Detecci├│n multirrostro). - Limpieza de redundancias en l├│gica de inicializaci├│n de c├ímara."
"68a764050b1770a69f5596f2dbbbc838b4db2c28","2026-05-02 00:35:01 -0500","La Fase 1: Cimentaci├│n y Capa de Seguridad ha quedado validada t├®cnicamente. El sistema ya es capaz de proteger datos sensibles mediante cifrado AES-256, gestionar la persistencia en formato binario optimizado (Msgpack) y registrar eventos en una fuente de verdad (CSV)"
"96ce8c572345eee9ecc98c4b327527b19c83b31a","2026-05-02 00:25:15 -0500","Fase 1: Implementaci├│n de persistence.py y soporte para Msgpack"
